19:21:59:513 [ 8220] | INFO  | Initializing crosire's ReShade version '6.6.2.2082' (32-bit) loaded from 'C:\Program Files (x86)\Steam\steamapps\common\GarrysMod\dxgi.dll' into 'C:\Program Files (x86)\Steam\steamapps\common\GarrysMod\gmod.exe' (0xF7C09AFA) ...
19:21:59:543 [ 8220] | INFO  | Registering hooks for 'user32.dll' ...
19:21:59:543 [ 8220] | INFO  | > Libraries loaded.
19:21:59:544 [ 8220] | INFO  | > Found 21 match(es). Installing ...
19:21:59:576 [ 8220] | INFO  | Registering hooks for 'C:\WINDOWS\system32\dinput.dll' ...
19:21:59:578 [ 8220] | INFO  | > Delayed.
19:21:59:578 [ 8220] | INFO  | Registering hooks for 'C:\WINDOWS\system32\dinput8.dll' ...
19:21:59:578 [ 8220] | INFO  | > Delayed.
19:21:59:578 [ 8220] | INFO  | Registering hooks for 'ws2_32.dll' ...
19:21:59:578 [ 8220] | INFO  | > Libraries loaded.
19:21:59:578 [ 8220] | INFO  | > Found 8 match(es). Installing ...
19:21:59:614 [ 8220] | INFO  | Registering hooks for 'C:\WINDOWS\system32\d2d1.dll' ...
19:21:59:616 [ 8220] | INFO  | > Delayed.
19:21:59:616 [ 8220] | INFO  | Registering hooks for 'C:\WINDOWS\system32\d3d9.dll' ...
19:21:59:616 [ 8220] | INFO  | > Libraries loaded.
19:21:59:616 [ 8220] | INFO  | > Found 11 match(es). Installing ...
19:21:59:651 [ 8220] | INFO  | Registering hooks for 'C:\WINDOWS\system32\d3d10.dll' ...
19:21:59:651 [ 8220] | INFO  | > Delayed.
19:21:59:653 [ 8220] | INFO  | Registering hooks for 'C:\WINDOWS\system32\d3d10_1.dll' ...
19:21:59:653 [ 8220] | INFO  | > Delayed.
19:21:59:653 [ 8220] | INFO  | Registering hooks for 'C:\WINDOWS\system32\d3d11.dll' ...
19:21:59:653 [ 8220] | INFO  | > Libraries loaded.
19:21:59:653 [ 8220] | INFO  | > Found 3 match(es). Installing ...
19:21:59:685 [ 8220] | INFO  | Registering hooks for 'C:\WINDOWS\system32\d3d12.dll' ...
19:21:59:685 [ 8220] | INFO  | > Delayed.
19:21:59:685 [ 8220] | INFO  | Registering hooks for 'C:\WINDOWS\system32\dxgi.dll' ...
19:21:59:685 [ 8220] | INFO  | > Delayed until first call to an exported function.
19:21:59:685 [ 8220] | INFO  | Registering hooks for 'openvr_api.dll' ...
19:21:59:685 [ 8220] | INFO  | > Delayed.
19:21:59:685 [ 8220] | INFO  | Initialized.
